,en,jp,zh,th,es,vi,id
Album,Album,アルバム,相簿,อัลบั้ม,Álbum,Album,Album
AlbumFilter,Album Filter,アルバムフィルター,相簿篩選,ตัวกรองอัลบั้ม,Filtro de álbum,Bộ lọc album,Filter Album
AlbumFilterDialog,"Users have the option to select whether they want to view results that have been specifically categorized within the album or explore uncategorized results, offering flexibility in their browsing experience.",ユーザーは、アルバム内で特定のカテゴリに分類された結果を表示するか、未分類の結果を探索するかを選択でき、ブラウジング体験の柔軟性が提供されています。,使用者可以選擇是否要查看相簿內已經明確分類的結果，或者探索尚未歸類的結果，為他們的瀏覽體驗提供更多彈性。,ผู้ใช้มีตัวเลือกในการเลือกว่าต้องการดูผลลัพธ์ที่มีการจัดหมวดหมู่เฉพาะภายในอัลบั้ม หรือสำรวจผลลัพธ์ที่ไม่จัดหมวดหมู่ ซึ่งให้ความยืดหยุ่นในประสบการณ์การเรียกดู,"Los usuarios tienen la opción de seleccionar si desean ver los resultados que se han categorizado específicamente dentro del álbum o explorar resultados sin categorizar, lo que ofrece flexibilidad en su experiencia de navegación.","Người dùng có tùy chọn để chọn xem họ muốn xem các kết quả đã được phân loại cụ thể trong album hay khám phá các kết quả chưa được phân loại, mang lại sự linh hoạt trong trải nghiệm duyệt web của họ.","Pengguna mempunyai opsi untuk memilih apakah mereka ingin melihat hasil yang telah dikategorikan secara khusus dalam album atau menjelajahi hasil yang tidak dikategorikan, sehingga menawarkan fleksibilitas dalam pengalaman penelusuran mereka."
AlbumName,Album name,アルバム名,相簿名稱,ชื่ออัลบั้ม,Nombre del álbum,Tên album,Nama album
All,All,全て,全部,ทั้งหมด,Todo,Tất cả,Semua
AndMore,and {number} more,および{number}詳細,及另外 {number} 項,และอีก {number} รายการ,y {número} más,và {number} nữa,dan {number} lainnya
Apply,Apply,適用,套用,นำมาใช้,Aplicar,Áp dụng,Menerapkan
Archive,Archive,アーカイブ,備份,คลังเก็บเอกสารสำคัญ,Archivo,Lưu trữ,Arsip
BookmarkDialog,"Users can add specified video clips to the bookmark feature within the Nx system. This allows users to easily access these video clips in the future, enhancing their viewing experience for added convenience.",ユーザーは、指定されたビデオクリップをNxシステム内のブックマーク機能に追加できます。これにより、ユーザーはこれらのビデオクリップに将来簡単にアクセスし、より便利な視聴体験を楽しむことができます。,將指定的影像片段加入至 Nx 系統的書籤功能。這樣，使用者可以在未來輕鬆調用這些影像片段，享受更便捷的觀看體驗。,ผู้ใช้สามารถเพิ่มคลิปวิดีโอที่ระบุลงในคุณสมบัติบุ๊กมาร์กภายในระบบ Nx ซึ่งจะช่วยให้ผู้ใช้สามารถเข้าถึงคลิปวิดีโอเหล่านี้ได้อย่างง่ายดายในอนาคต ช่วยเพิ่มประสบการณ์การรับชมและเพิ่มความสะดวกสบาย,"Los usuarios pueden agregar clips de vídeo específicos a la función de marcadores dentro del sistema Nx. Esto permite a los usuarios acceder fácilmente a estos videoclips en el futuro, mejorando su experiencia de visualización para mayor comodidad.","Người dùng có thể thêm các video clip được chỉ định vào tính năng đánh dấu trong hệ thống Nx. Điều này cho phép người dùng dễ dàng truy cập các video clip này trong tương lai, nâng cao trải nghiệm xem của họ để thuận tiện hơn.","Pengguna dapat menambahkan klip video tertentu ke fitur bookmark dalam sistem Nx. Hal ini memungkinkan pengguna untuk dengan mudah mengakses klip video ini di masa depan, meningkatkan pengalaman melihat mereka untuk menambah kenyamanan."
ByUser,By User,ユーザー別,按用戶,โดยผู้ใช้,Por usuario,Bởi người dùng,Oleh Pengguna
Camera,Camera,カメラ,攝影機,กล้อง,Cámara,Máy ảnh,Kamera
CameraFilter,Camera Filter,カメラフィルター,攝影機篩選,ฟิลเตอร์กล้อง,Filtro de cámara,Bộ lọc máy ảnh,Filter Kamera
CameraFilterDialog,"Users have the option to select the specific scene data they wish to access, providing a personalized viewing experience tailored to their preferences.",ユーザーは、個々の好みに合わせたパーソナライズされた視聴体験を提供するために、アクセスしたい特定のシーンデータを選択するオプションを持っています。,使用者可以選擇他們想要查看的特定攝影機數據，提供根據個人喜好度身訂製的觀賞體驗。,ผู้ใช้มีตัวเลือกในการเลือกข้อมูลฉากเฉพาะที่ต้องการเข้าถึง โดยมอบประสบการณ์การรับชมที่เป็นส่วนตัวซึ่งปรับให้เหมาะกับความต้องการของพวกเขา,"Los usuarios tienen la opción de seleccionar los datos de escena específicos a los que desean acceder, proporcionando una experiencia de visualización personalizada adaptada a sus preferencias.","Người dùng có tùy chọn để chọn dữ liệu cảnh cụ thể mà họ muốn truy cập, mang lại trải nghiệm xem được cá nhân hóa phù hợp với sở thích của họ.","Pengguna mempunyai pilihan untuk memilih data kejadian tertentu yang ingin mereka akses, memberikan pengalaman melihat yang dipersonalisasi dan disesuaikan dengan preferensi mereka."
Cancel,Cancel,キャンセル,取消,ยกเลิก,Cancelar,Hủy bỏ,Membatalkan
CancelHint,Are you sure you want to cancel the download?,ダウンロードをキャンセルしてもよろしいですか?,您確定要取消下載嗎？,คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการดาวน์โหลด,¿Estás seguro de que deseas cancelar la descarga?,Bạn có chắc chắn muốn hủy tải xuống không?,Apakah Anda yakin ingin membatalkan download?
Case,Case,ケース,案件,กรณี,Caso,Trường hợp,Kasus
CaseDescription,Case Description,ケースの説明,案件描述,คำอธิบายกรณี,Descripción del caso,Mô tả trường hợp,Deskripsi Kasus
CaseHint,please remember to download case manually because video archive could be expired.,有効期限が切れる前に、忘れずにケースを手動でダウンロードしてください。,請記住手動下載案例，因為錄影資料可能會過期。,โปรดอย่าลืมดาวน์โหลดเคสด้วยตนเอง เนื่องจากไฟล์วิดีโออาจหมดอายุ,recuerde descargar el caso manualmente porque el archivo de video podría estar caducado.,hãy nhớ tải xuống trường hợp theo cách thủ công vì kho lưu trữ video có thể hết hạn.,harap diingat untuk mendownload kasus secara manual karena arsip video mungkin sudah kadaluwarsa.
CaseName,Case Name,ケース名,案件名稱,ชื่อกรณี,Nombre del caso,Tên trường hợp,Nama Kasus
Celsius,Celsius (°C),摂氏 (°C),攝氏 (°C),เซลเซียส (°C),Celsius (°C),độ C (°C),Celcius (°C)
Channel,Channel,チャンネル,頻道,ช่อง,Canal,Kênh,Saluran
ChannelTitle,Channels,チャンネルタイトル,頻道列表,ช่อง,Canales,Kênh truyền hình,Saluran
Comment,Comment,コメント,說明,ความคิดเห็น,Comentario,Bình luận,Komentar
Completed,Completed,完了しました,已完成,สมบูรณ์,Terminado,Hoàn thành,Sudah selesai
Confirm,Confirm,確認,確定,ยืนยัน,Confirmar,Xác nhận,Konfirmasi
CurrentAlbum,Current Album,現在のアルバム,目前相簿,อัลบั้มปัจจุบัน,Álbum actual,Album hiện tại,Album Saat Ini
DbFolder,Database folder,データベースフォルダ,資料庫位置,โฟลเดอร์ฐานข้อมูล,Carpeta de base de datos,Thư mục cơ sở dữ liệu,Folder Database
Decode,Decode,デコード,編碼,ถอดรหัส,Descodificar,Giải mã,Decode
DeletCaseDialog,"This action is irreversible. Are you sure you want to permanently delete this case? Relevant data cannot be recovered, so please consider carefully to avoid losing important information.",この操作は取り消しができません。このケースを永久に削除してもよろしいですか？関連データは復元できませんので、重要な情報を失わないように慎重に検討してください。,此動作不可逆，您確定永久刪除此案件嗎？將無法復原相關資料，請謹慎考慮以免遺失重要數據。,การกระทำนี้ไม่สามารถย้อนกลับได้ คุณแน่ใจหรือไม่ว่าต้องการลบกรณีนี้อย่างถาวร ข้อมูลที่เกี่ยวข้องไม่สามารถกู้คืนได้ ดังนั้นโปรดพิจารณาอย่างรอบคอบเพื่อหลีกเลี่ยงการสูญเสียข้อมูลสำคัญ,"Esta acción es irreversible. ¿Está seguro de que desea eliminar este caso permanentemente? Los datos relevantes no se pueden recuperar, así que considere cuidadosamente para evitar perder información importante.",Hành động này là không thể đảo ngược. Bạn có chắc chắn muốn xóa vĩnh viễn trường hợp này không? Dữ liệu liên quan không thể phục hồi được nên các bạn hãy cân nhắc kỹ để tránh mất đi những thông tin quan trọng.,"Tindakan ini tidak dapat diubah. Apakah Anda yakin ingin menghapus kasus ini secara permanen? Data yang relevan tidak dapat dipulihkan, jadi mohon pertimbangkan dengan cermat untuk menghindari kehilangan informasi penting."
DeletCaseTitle,Case Deletion Prompt,ケース削除プロンプト,案件刪除提示,พร้อมท์การลบกรณี,Mensaje de eliminación de caso,Lời nhắc xóa trường hợp,Perintah Penghapusan Kasus
Delete,Delete,削除,刪除,ลบ,Borrar,Xóa bỏ,Hapus
DeleteUser,Delete User,ユーザー削除,刪除用戶,ลบผู้ใช้,Borrar usuario,Xóa người dùng,Hapus pengguna
DeleteUserDialog,"Users can delete their accounts through this feature. Please confirm your action, as the account cannot be recovered after deletion.",ユーザーはこの機能を使用してアカウントを削除できます。操作を確認してください。アカウントを削除すると復元はできません。,使用者可透過此功能刪除他們的帳戶。請確認您的操作，刪除後帳戶將無法復原。,ผู้ใช้สามารถลบบัญชีของตนผ่านคุณสมบัตินี้ได้ โปรดยืนยันการกระทำของคุณ เนื่องจากบัญชีไม่สามารถกู้คืนได้หลังจากการลบ,"Los usuarios pueden eliminar sus cuentas a través de esta función. Confirme su acción, ya que la cuenta no se puede recuperar después de la eliminación.",Người dùng có thể xóa tài khoản của mình thông qua tính năng này. Vui lòng xác nhận hành động của bạn vì tài khoản không thể khôi phục được sau khi xóa.,"Pengguna dapat menghapus akunnya melalui fitur ini. Mohon konfirmasikan tindakan Anda, karena akun tidak dapat dipulihkan setelah penghapusan."
DeletTaskDialog,"This action is irreversible. Are you sure you want to permanently delete this task? The related data cannot be recovered, so please consider carefully to avoid the loss of important information.",このアクションは取り消しができません。このタスクを永久に削除してもよろしいですか？ 関連するデータは復元できませんので、大切な情報の損失を避けるために慎重にご検討ください。,此動作不可逆，您確定永久刪除此任務嗎？將無法復原相關資料，請謹慎考慮以免遺失重要數據。,การกระทำนี้ไม่สามารถย้อนกลับได้ คุณแน่ใจหรือไม่ว่าต้องการลบงานนี้อย่างถาวร ข้อมูลที่เกี่ยวข้องไม่สามารถกู้คืนได้ ดังนั้นโปรดพิจารณาอย่างรอบคอบเพื่อหลีกเลี่ยงการสูญเสียข้อมูลสำคัญ,"Esta acción es irreversible. ¿Está seguro de que desea eliminar permanentemente esta tarea? Los datos relacionados no se pueden recuperar, así que considere cuidadosamente para evitar la pérdida de información importante.",Hành động này là không thể đảo ngược. Bạn có chắc chắn muốn xóa vĩnh viễn tác vụ này không? Các dữ liệu liên quan không thể phục hồi được nên các bạn hãy cân nhắc kỹ để tránh thất thoát những thông tin quan trọng.,"Aksi ini tidak dapat diubah. Apakah Anda yakin ingin menghapus task ini secara permanen? Data terkait tidak dapat dipulihkan, jadi mohon pertimbangkan dengan cermat untuk menghindari hilangnya informasi penting."
DeletTaskTitle,Task Deletion Prompt,タスク削除の注意,任務刪除提示,พรอมต์การลบงาน,Mensaje de eliminación de tarea,Lời nhắc xóa tác vụ,Perintah Penghapusan Task
Description,Description,説明,描述,คำอธิบาย,Descripción,Sự miêu tả,Deskripsi
Detail,View,ビュー,檢視,ดู,Vista,Xem,Melihat
Duration,Duration,時間,輪巡時間,ระยะเวลา,Duración,Khoảng thời gian,Durasi
Edit,Edit,編集,編輯,แก้ไข,Editar,Biên tập,Ubah
EditAlbum,Edit Album,アルバムの編集,編輯相簿,แก้ไขอัลบั้ม,Editar álbum,Chỉnh sửa album,Ubah Album
EditAlbumDialog,Users can easily edit the name and description of albums to facilitate business-oriented management and organization of visual content. This enhances album efficiency and recognition.,ユーザーはアルバムの名前と説明を簡単に編集でき、ビジュアルコンテンツをビジネス指向の管理と組織に役立てることができます。これにより、アルバムの効率と識別が向上します。,使用者可編輯相簿的名稱和描述，以便於商業角度管理和組織影像內容。這有助於提高相簿的效率和識別性。,ผู้ใช้สามารถแก้ไขชื่อและคำอธิบายของอัลบั้มได้อย่างง่ายดาย เพื่ออำนวยความสะดวกในการจัดการเชิงธุรกิจและการจัดระเบียบเนื้อหาภาพ สิ่งนี้จะช่วยเพิ่มประสิทธิภาพและการจดจำอัลบั้ม,Los usuarios pueden editar fácilmente el nombre y la descripción de los álbumes para facilitar la gestión y organización del contenido visual orientada a los negocios. Esto mejora la eficiencia y el reconocimiento del álbum.,Người dùng có thể dễ dàng chỉnh sửa tên và mô tả của album để thuận tiện cho việc quản lý và tổ chức nội dung trực quan theo định hướng kinh doanh. Điều này nâng cao hiệu quả và sự công nhận của album.,Pengguna dapat dengan mudah mengedit nama dan deskripsi album untuk memfasilitasi manajemen berorientasi bisnis dan pengorganisasian konten visual. Ini meningkatkan efisiensi dan pengenalan album.
EditUser,Edit User,ユーザーの編集,編輯使用者,แก้ไขผู้ใช้,editar usuario,Người dùng biên tập,Ubah Pengguna
EditUserDialog,"Users can effortlessly edit their personal information through this feature, including their name and email, to ensure the accuracy of their details.",ユーザーはこの機能を使用して、お名前と電子メールを含む個人情報を簡単に編集できます。詳細情報の正確性を確保するためです。,使用者可以透過此功能輕鬆編輯他們的個人資料，包括名稱和電子郵件，以確保資訊的正確性。,ผู้ใช้สามารถแก้ไขข้อมูลส่วนบุคคลได้อย่างง่ายดายผ่านฟีเจอร์นี้ รวมถึงชื่อและอีเมล เพื่อให้มั่นใจในความถูกต้องของรายละเอียด,"Los usuarios pueden editar fácilmente su información personal a través de esta función, incluido su nombre y correo electrónico, para garantizar la exactitud de sus datos.","Người dùng có thể dễ dàng chỉnh sửa thông tin cá nhân của mình thông qua tính năng này, bao gồm tên và email, để đảm bảo tính chính xác của thông tin chi tiết.","Pengguna dapat dengan mudah mengedit informasi pribadi mereka melalui fitur ini, termasuk nama dan email, untuk memastikan keakuratan rincian mereka."
EmailAddress,Email Address,Emailアドレス,電子信箱,ที่อยู่อีเมล,Dirección de correo electrónico,Địa chỉ email,Alamat email
EndTime,End time,終了時間,結束時間,เวลาสิ้นสุด,Hora de finalización,Thời gian kết thúc,Akhir waktu
EngVersion,Engineer Version,開発中バージョン,開發版本,เวอร์ชันวิศวกร,Versión de ingeniero,Phiên bản kỹ sư,Versi Engineer
Error,error,エラー,錯誤,ข้อผิดพลาด,error,lỗi,Error
Exist,Exist,既存,既有,มีอยู่,Existir,Hiện hữu,Ada
Expired,expired,期限切れ,已到期,หมดอายุแล้ว,venció,hết hạn,Kadaluarsa
ExpireDate,Expiration Date,有効期限,失效日期,วันหมดอายุ,Fecha de caducidad,Ngày hết hạn,Tanggal jatuh tempo
ExpiredData,Data Expired,データの有効期限が切れました,數據已過期,ข้อมูลหมดอายุ,Datos caducados,Dữ liệu đã hết hạn,Data Kadaluarsa
Export,Export,エクスポート,匯出,ส่งออก,Exportar,Xuất khẩu,Ekspor
Extend,Expand,拡大する,展開,ขยาย,Expandir,Mở rộng,Perluas
FaceBoard,Face Board,フェイスボード,人臉牆,เฟซบอร์ด,Tablero frontal,Bảng mặt,Papan Wajah
ForgotPassword,Forget password,パスワードを忘れる,忘記密碼,ลืมรหัสผ่าน,Contraseña olvidada,Quên mật khẩu,Lupa Kata Sandi
FullFrame,Full frame,フルフレーム,所有畫格,เต็มกรอบ,Fotograma completo,Khung đầy đủ,Bingkai penuh
GeneralMode,Main console,メインコンソール,主控台,คอนโซลหลัก,Consola principal,Bảng điều khiển chính,Konsol utama
GeneratePdfReport,Export as PDF,PDFとしてエクスポート,匯出 PDF,ส่งออกเป็น PDF,Exportar como PDF,Xuất dưới dạng PDF,Ekspor sebagai PDF
GenerateVmsBookmark,Create bookmark,ブックマークを作成します,產生書籤,สร้างบุ๊กมาร์ก,Crear marcador,Tạo dấu trang,Buat bookmark
High,High,高い,高,สูง,Alto,Cao,Tinggi
HtmlVideoArchive,HTML video archive,HTMLビデオアーカイブ,HTML 錄影資料,ไฟล์วิดีโอ HTML,Archivo de vídeo HTML,Lưu trữ video HTML,Arsip video HTML
IFrameOnly,I-frame only,Iーフレームのみ,使用 I-畫格,เฉพาะไอเฟรมเท่านั้น,Sólo marco I,Chỉ khung hình chữ I,I-frame saja
IncidentInformation,Incident Information,インシデント情報,事件資訊,ข้อมูลเหตุการณ์,Información del incidente,Thông tin sự cố,Informasi Insiden
InCustom,Custom,カスタム,自訂,กำหนดเอง,Costumbre,Phong tục,Kustom
InDay,In a day,一日に,本日,ในหนึ่งวัน,En un día,Vào một ngày,Dalam sehari
Init,New,新たに追加,新增,ใหม่,Nuevo,Mới,Baru
InMonth,In a month,一ヶ月で,本月,ภายในเดือน,En un mes,trong một tháng,Dalam sebulan
IntercomUrl,Download,ダウンロード,下載,ดาวน์โหลด,Descargar,Tải xuống,Download
IntervalMs,Interval (ms),間隔 (ミリ秒),間隔（毫秒）,ช่วงเวลา (มิลลิวินาที),Intervalo (ms),Khoảng thời gian (ms),Interval (ms)
InvalidEmail,Invalid Email Format,無効な電子メール形式,電子郵件格式無效,รูปแบบอีเมลไม่ถูกต้อง,Formato de correo inválido,Định dạng email không hợp lệ,Format email tidak valid
InvalidIP,Invalid IP address,無効なIPアドレス,IP 位址無效,ที่อยู่ IP ไม่ถูกต้อง,Dirección IP inválida,địa chỉ IP không hợp lệ,Alamat IP tidak valid
InvalidPort,Invalid Port,無効なポート,連接埠無效,พอร์ตไม่ถูกต้อง,Puerto no válido,Cổng không hợp lệ,Pelabuhan Tidak Valid
Investigation,Investigation,調査,調查,การสืบสวน,Investigación,Cuộc điều tra,Investigasi
InWeek,In a week,一週間以内に,本週,ในหนึ่งสัปดาห์,En una semana,Trong một tuần,Dalam seminggu
IpAddress,IP Address,IPアドレス,IP 位址,ที่อยู่ IP,Dirección IP,Địa chỉ IP,Alamat IP
Large,Large,大きい,大,ใหญ่,Grande,Lớn,Besar
License,License,ライセンス,授權,ใบอนุญาต,Licencia,Giấy phép,Lisensi
LicenseKey,License key,ライセンスキー,授權碼,รหัสใบอนุญาต,Clave de licencia,Mã bản quyền,Kunci lisensi
LiveChannel,Live Channel,ライブチャンネル,即時攝影機,ช่องถ่ายทอดสด,Canal en vivo,Kênh trực tiếp,Saluran Langsung
Login,Login,ログイン,登入,เข้าสู่ระบบ,Acceso,Đăng nhập,Masuk
LoginPassword,Password,パスワード,密碼,รหัสผ่าน,Contraseña,Mật khẩu,Kata sandi
LoginSubtitle,Sign in to your account,アカウント情報入力,登入您的使用者帳號,ลงชื่อเข้าใช้บัญชีของคุณ,Iniciar sesión en su cuenta,đăng nhập vào tài khoản của bạn,masuk ke akun Anda
LoginTitle,Login,ログイン,登入,เข้าสู่ระบบ,Acceso,Đăng nhập,Masuk
LoginUsername,Username,ユーザー名,使用者,ชื่อผู้ใช้,Nombre de usuario,tên tài khoản,Nama Pengguna
Logout,Logout,ログアウト,登出,ออกจากระบบ,Cerrar sesión,Đăng xuất,Keluar
Medium,Medium,中,中,ปานกลาง,Medio,Trung bình,Sedang
MergeScore,Face merge score,顔マージスコア,人臉合併分數,คะแนนการรวมใบหน้า,Puntuación de fusión de caras,Điểm hợp nhất khuôn mặt,Skor penggabungan wajah
MinFaceSize,Min. Face Size,顔の最小サイズ,最小臉部尺寸,นาที. ขนาดใบหน้า,Mín. Tamaño de la cara,Tối thiểu. Kích thước khuôn mặt,Minimal. Ukuran Wajah
MobileUploadStep1,Step1: Select a photo in your phone,ステップ 1: 携帯電話内の写真を選択します,Step1：選擇手機中的照片,ขั้นตอนที่ 1: เลือกรูปภาพในโทรศัพท์ของคุณ,Paso 1: selecciona una foto en tu teléfono,Bước 1: Chọn ảnh trong điện thoại của bạn,Langkah 1: Pilih foto di ponsel Anda
MobileUploadStep2,Step2: Upload to airaTrack,ステップ2: airaTrackにアップロードする,步驟2：上傳至airaTrack,ขั้นตอนที่ 2: อัปโหลดไปยัง airaTrack,Paso 2: Subir a airaTrack,Bước 2: Tải lên airaTrack,Langkah2: Upload ke airaTrack
Move,Move,移動,移動,เคลื่อนไหว,Mover,Di chuyển,Pindah
MovePhoto,Move to others,他の人に移動する,轉移,ย้ายไปที่อื่น,Pasar a otros,Chuyển sang người khác,Pindah ke tempat lain
MoveToAlbumDialog,"Users can effortlessly move their current photos to other albums, enabling more efficient organization and management of their image content. This offers greater flexibility in resource allocation.",ユーザーは現在の写真を他のアルバムに簡単に移動でき、画像コンテンツの効率的な管理が可能となります。リソースの柔軟な配置が提供されます。,使用者可以輕鬆將目前的圖片移動到其他相簿中，以更有效地組織和管理他們的圖像內容。這提供了更靈活的資源配置。,ผู้ใช้สามารถย้ายรูปภาพปัจจุบันไปยังอัลบั้มอื่นได้อย่างง่ายดาย ทำให้สามารถจัดระเบียบและจัดการเนื้อหารูปภาพได้อย่างมีประสิทธิภาพมากขึ้น สิ่งนี้ทำให้การจัดสรรทรัพยากรมีความยืดหยุ่นมากขึ้น,"Los usuarios pueden mover sin esfuerzo sus fotografías actuales a otros álbumes, lo que permite una organización y gestión más eficiente de su contenido de imágenes. Esto ofrece una mayor flexibilidad en la asignación de recursos.","Người dùng có thể dễ dàng di chuyển ảnh hiện tại của mình sang các album khác, cho phép tổ chức và quản lý nội dung hình ảnh của họ hiệu quả hơn. Điều này mang lại sự linh hoạt hơn trong việc phân bổ nguồn lực.","Pengguna dapat dengan mudah memindahkan foto mereka saat ini ke album lain, memungkinkan pengorganisasian dan pengelolaan konten gambar mereka secara lebih efisien. Hal ini menawarkan fleksibilitas yang lebih besar dalam alokasi sumber daya."
New,New,新たに追加,新增,ใหม่,Nuevo,Mới,Baru
NewPassword,New Password,新しいパスワード,新密碼,รหัสผ่านใหม่,Nueva contraseña,mật khẩu mới,kata sandi baru
NewUserDialog,"Users can create a new account or update their personal information in the system through this feature. Please provide your name, password, and email. This will grant you access to our features.",ユーザーはこの機能を使用して、システム内で新しいアカウントを作成するほか、個人情報を更新できます。お名前、パスワード、電子メールアドレスを入力し、この機能へのアクセスが可能となります。,使用者可透過此功能在系統中建立新帳戶或修改個人資訊。請填寫您的名稱、密碼和電子郵件。這將允許您存取我們的功能。,ผู้ใช้สามารถสร้างบัญชีใหม่หรืออัพเดตข้อมูลส่วนบุคคลในระบบผ่านคุณสมบัตินี้ กรุณาระบุชื่อ รหัสผ่าน และอีเมลของคุณ สิ่งนี้จะทำให้คุณสามารถเข้าถึงคุณสมบัติของเรา,"Los usuarios pueden crear una nueva cuenta o actualizar su información personal en el sistema a través de esta función. Proporcione su nombre, contraseña y correo electrónico. Esto le otorgará acceso a nuestras funciones.","Người dùng có thể tạo tài khoản mới hoặc cập nhật thông tin cá nhân của mình trong hệ thống thông qua tính năng này. Vui lòng cung cấp tên, mật khẩu và email của bạn. Điều này sẽ cấp cho bạn quyền truy cập vào các tính năng của chúng tôi.","Pengguna dapat membuat akun baru atau memperbarui informasi pribadinya di sistem melalui fitur ini. Silakan berikan nama, kata sandi, dan email Anda. Ini akan memberi Anda akses ke fitur kami."
No,No,いいえ,否,เลขที่,No,KHÔNG,TIDAK
NoData,No data,データなし,沒有資料,ไม่มีข้อมูล,Sin datos,Không có dữ liệu,Tidak ada data
NoFace,Clear Face Required,顔をハッキリ映る必要があります。,需要清晰臉部資料,จำเป็นต้องมีใบหน้าที่ชัดเจน,Se requiere cara clara,Yêu cầu khuôn mặt rõ ràng,Wajah Jelas Diperlukan
Normal,Normal,普通,一般,ปกติ,Normal,Bình thường,Normal
Now,Now,現在,現在,ตอนนี้,Ahora,Hiện nay,Sekarang
NumOfLive,# of LIVE,コネクトしたカメラの数量,即時攝影機數量,#ของสด,# De vivir,# TRỰC TIẾP,# dari LANGSUNG
Nx4Before,Network Optix 4 or earlier,Network Optix 4 or earlier,Network Optix 4 或之前版本,เครือข่าย Optix 4 หรือเก่ากว่า,Red Optix 4 o anterior,Mạng Optix 4 trở về trước,Network Optix versi 4 atau lebih lama
Nx5Later,Network Optix 5.0 or later,Network Optix 5.0 or later,Network Optix 5.0 或之後版本,เครือข่าย Optix 5.0 หรือใหม่กว่า,Red Optix 5.0 o posterior,Mạng Optix 5.0 trở lên,Network Optix versi 5.0 atau lebih baru
NxVideoArchive,Nx Video Archive,Nx ビデオ アーカイブ,Nx 錄影資料,คลังวิดีโอ Nx,Archivo de vídeos Nx,Lưu trữ video Nx,Arsip Video Nx
Operator,Operator,オペレーター,操作員,ผู้ดำเนินการ,Operador,Nhà điều hành,Operator
PdfExport,Export as PDF,PDFとしてエクスポート,匯出 PDF,ส่งออกเป็น PDF,Exportar como PDF,Xuất dưới dạng PDF,Ekspor sebagai PDF
PleaseSelectBeforePresent,Time-travel to future moments feature coming soon!,将来の瞬間へのタイムトラベルは、近日公開予定です！,穿越到未來的功能即將上線！,คุณลักษณะการเดินทางข้ามเวลาไปสู่ช่วงเวลาในอนาคตในเร็ว ๆ นี้!,¡La función de viaje en el tiempo a momentos futuros estará disponible próximamente!,Tính năng du hành thời gian đến những khoảnh khắc trong tương lai sắp ra mắt!,Fitur perjalanan waktu ke momen masa depan segera hadir!
Port,Port,ポート,端口,ท่าเรือ,Puerto,Hải cảng,Port
Processing,Processing,処理中,處理中,กำลังประมวลผล,Procesando,Xử lý,Diproses
Remark,Comment,コメント,說明,ความคิดเห็น,Comentario,Bình luận,Komentar
Remarks,Remarks,備考,備註,หมายเหตุ,Observaciones,Bình luận,Perkataan
